,Kilométrage,Année-Modèle,Marque,Modèle,Nombre de portes,Origine,Première main,carburant,puiFiscale,boiteVitesse,price
437,35 000 - 39 999,2018,Volkswagen,Tiguan,,WW au Maroc,Non,Diesel,8 CV,Automatique,
438,200 000 - 249 999,2005,Renault,Clio,5,WW au Maroc,Non,Essence,8 CV,Manuelle,48000.0
439,160 000 - 169 999,2006,Kia,Picanto,5,WW au Maroc,Non,Essence,4 CV,Manuelle,50000.0
440,35 000 - 39 999,2015,Toyota,Corolla,5,WW au Maroc,Non,Diesel,5 CV,Manuelle,125000.0
441,300 000 - 349 999,2019,Renault,Kangoo,,,,Diesel,6 CV,--,140000.0
442,85 000 - 89 999,2013,Skoda,Octavia,5,WW au Maroc,Non,Diesel,8 CV,Manuelle,125000.0
443,20 000 - 24 999,2015,Toyota,Hilux,3,WW au Maroc,Oui,Diesel,9 CV,Manuelle,
444,120 000 - 129 999,2008,Ford,Fiesta,5,WW au Maroc,Non,Essence,7 CV,Manuelle,58000.0
445,200 000 - 249 999,2013,Renault,Kangoo,5,WW au Maroc,Non,Diesel,6 CV,Manuelle,80000.0
446,190 000 - 199 999,2005,Mitsubishi,pajero,5,WW au Maroc,Non,Diesel,12 CV,Manuelle,55000.0
447,200 000 - 249 999,2006,Land Rover,Range Rover,,,,Diesel,12 CV,--,100000.0
448,20 000 - 24 999,2020,Peugeot,301,5,WW au Maroc,Oui,Diesel,6 CV,Manuelle,135000.0
449,65 000 - 69 999,1991,Fiat,Uno,5,WW au Maroc,Non,Essence,6 CV,Manuelle,16000.0
450,30 000 - 34 999,2018,Hyundai,Tucson,5,WW au Maroc,Oui,Diesel,7 CV,Automatique,240000.0
451,110 000 - 119 999,2012,Volkswagen,Passat,,,,Diesel,8 CV,Manuelle,145000.0
452,Plus de 500 000,2007,Renault,Megane CC,3,Importée neuve,,Diesel,7 CV,Manuelle,83000.0
453,10 000 - 14 999,2019,Nissan,Qashqai,5,WW au Maroc,Oui,Diesel,7 CV,Manuelle,215000.0
454,Plus de 500 000,2007,Renault,Megane CC,3,Importée neuve,,Diesel,7 CV,Manuelle,83000.0
455,160 000 - 169 999,1999,Daewoo,Lanos,,,Oui,Essence,8 CV,Manuelle,31000.0
456,250 000 - 299 999,2005,Volkswagen,Passat,5,WW au Maroc,Non,Diesel,8 CV,Manuelle,67000.0
457,80 000 - 84 999,2018,Mitsubishi,L200,3,WW au Maroc,Oui,Diesel,10 CV,Manuelle,169000.0
458,110 000 - 119 999,2010,Geely,LC,5,WW au Maroc,Non,Essence,8 CV,Manuelle,33000.0
459,250 000 - 299 999,1994,Volkswagen,GOLF 3,5,Dédouanée,Non,Diesel,8 CV,Manuelle,37000.0
460,45 000 - 49 999,2017,Nissan,Micra,5,WW au Maroc,Non,Diesel,6 CV,Manuelle,
461,Plus de 500 000,1999,Toyota,Hi Ace,3,WW au Maroc,Oui,Diesel,10 CV,Manuelle,55000.0
462,85 000 - 89 999,2016,Peugeot,3008,5,WW au Maroc,Oui,Diesel,--,Manuelle,137000.0
463,5 000 - 9 999,2012,Renault,Kangoo,,,,Diesel,6 CV,--,
464,90 000 - 94 999,2014,Peugeot,208,5,WW au Maroc,Non,Essence,6 CV,Manuelle,75000.0
465,65 000 - 69 999,2018,Peugeot,208,5,WW au Maroc,Non,Diesel,6 CV,Manuelle,119000.0
466,100 000 - 109 999,2017,Mercedes-Benz,Sprinter,3,Dédouanée,Oui,Diesel,9 CV,Manuelle,400000.0
467,250 000 - 299 999,2002,Mercedes-Benz,270,5,Dédouanée,Non,Diesel,11 CV,Automatique,49000.0
468,190 000 - 199 999,2009,Dacia,Logan,5,WW au Maroc,,Essence,8 CV,Manuelle,
469,20 000 - 24 999,1990,Renault,19,5,Dédouanée,Non,Essence,7 CV,Manuelle,24000.0
470,85 000 - 89 999,2013,Volkswagen,Polo,,WW au Maroc,Oui,Diesel,5 CV,Manuelle,109000.0
471,60 000 - 64 999,1998,Fiat,Siena,5,Importée neuve,Non,Essence,7 CV,Manuelle,25000.0
472,190 000 - 199 999,1992,Mercedes-Benz,190,,Dédouanée,Oui,Diesel,8 CV,Manuelle,70000.0
473,130 000 - 139 999,2007,Chery,QQ,,,,Essence,6 CV,--,33000.0
474,100 000 - 109 999,2010,Fiat,500,5,WW au Maroc,Oui,Essence,6 CV,Manuelle,67000.0
475,150 000 - 159 999,2014,Toyota,Hilux,3,,,Diesel,10 CV,Manuelle,
476,110 000 - 119 999,2012,Ford,Kuga,5,WW au Maroc,Oui,Diesel,8 CV,Manuelle,142000.0
477,190 000 - 199 999,2008,Daihatsu,Sirion,5,WW au Maroc,Non,Essence,6 CV,Manuelle,49000.0
478,15 000 - 19 999,2008,Dacia,Logan,,,,Diesel,6 CV,--,62000.0
479,20 000 - 24 999,1997,Renault,Megane Coupe,5,WW au Maroc,Oui,Diesel,7 CV,Manuelle,39000.0
480,60 000 - 64 999,2019,Peugeot,308,5,WW au Maroc,Oui,Diesel,6 CV,Manuelle,155000.0
481,65 000 - 69 999,2018,Dacia,Dokker,5,WW au Maroc,Oui,Diesel,6 CV,Manuelle,
482,0 - 4 999,1990,Renault,19,5,Dédouanée,Non,Diesel,7 CV,Manuelle,27000.0
483,110 000 - 119 999,2015,Maserati,Ghibli,5,WW au Maroc,Non,Diesel,12 CV,Automatique,297000.0
484,160 000 - 169 999,2015,Land Rover,Range Rover Sport,5,WW au Maroc,Non,Diesel,12 CV,Automatique,345000.0
485,30 000 - 34 999,2019,Citroen,C3,5,WW au Maroc,Oui,Diesel,6 CV,Manuelle,145000.0
486,100 000 - 109 999,2016,Dacia,Logan,5,WW au Maroc,Oui,Diesel,6 CV,Manuelle,87000.0
487,150 000 - 159 999,2001,Peugeot,206,5,Dédouanée,Non,Diesel,7 CV,Manuelle,55000.0
488,100 000 - 109 999,2008,Peugeot,207,5,Dédouanée,Non,Essence,8 CV,Manuelle,65000.0
489,200 000 - 249 999,2000,Renault,Megane,5,Dédouanée,,Diesel,7 CV,Manuelle,48000.0
490,30 000 - 34 999,2018,Dacia,Dokker,5,WW au Maroc,Oui,Diesel,7 CV,Manuelle,93000.0
491,25 000 - 29 999,2005,Volkswagen,LUPO,,,,Diesel,8 CV,--,
492,60 000 - 64 999,2017,Dacia,Logan,5,WW au Maroc,Oui,Diesel,6 CV,Manuelle,110000.0
493,170 000 - 179 999,2012,Dacia,Duster,,,Oui,Essence,--,Manuelle,77000.0
494,200 000 - 249 999,2008,Volkswagen,GOLF 5,,Dédouanée,Non,Diesel,8 CV,Manuelle,95000.0
495,120 000 - 129 999,2018,Dacia,Dokker,5,WW au Maroc,,Diesel,6 CV,Manuelle,111000.0
496,35 000 - 39 999,2018,Volkswagen,Tiguan,,WW au Maroc,Non,Diesel,8 CV,Automatique,
497,200 000 - 249 999,2005,Renault,Clio,5,WW au Maroc,Non,Essence,8 CV,Manuelle,48000.0
498,160 000 - 169 999,2006,Kia,Picanto,5,WW au Maroc,Non,Essence,4 CV,Manuelle,50000.0
499,35 000 - 39 999,2015,Toyota,Corolla,5,WW au Maroc,Non,Diesel,5 CV,Manuelle,125000.0
500,300 000 - 349 999,2019,Renault,Kangoo,,,,Diesel,6 CV,--,140000.0
501,85 000 - 89 999,2013,Skoda,Octavia,5,WW au Maroc,Non,Diesel,8 CV,Manuelle,125000.0
502,20 000 - 24 999,2015,Toyota,Hilux,3,WW au Maroc,Oui,Diesel,9 CV,Manuelle,
503,120 000 - 129 999,2008,Ford,Fiesta,5,WW au Maroc,Non,Essence,7 CV,Manuelle,58000.0
504,200 000 - 249 999,2013,Renault,Kangoo,5,WW au Maroc,Non,Diesel,6 CV,Manuelle,80000.0
505,190 000 - 199 999,2005,Mitsubishi,pajero,5,WW au Maroc,Non,Diesel,12 CV,Manuelle,55000.0
506,200 000 - 249 999,2006,Land Rover,Range Rover,,,,Diesel,12 CV,--,100000.0
507,20 000 - 24 999,2020,Peugeot,301,5,WW au Maroc,Oui,Diesel,6 CV,Manuelle,135000.0
508,65 000 - 69 999,1991,Fiat,Uno,5,WW au Maroc,Non,Essence,6 CV,Manuelle,16000.0
509,30 000 - 34 999,2018,Hyundai,Tucson,5,WW au Maroc,Oui,Diesel,7 CV,Automatique,240000.0
510,110 000 - 119 999,2012,Volkswagen,Passat,,,,Diesel,8 CV,Manuelle,145000.0
511,Plus de 500 000,2007,Renault,Megane CC,3,Importée neuve,,Diesel,7 CV,Manuelle,83000.0
512,10 000 - 14 999,2019,Nissan,Qashqai,5,WW au Maroc,Oui,Diesel,7 CV,Manuelle,215000.0
513,Plus de 500 000,2007,Renault,Megane CC,3,Importée neuve,,Diesel,7 CV,Manuelle,83000.0
514,170 000 - 179 999,2011,Ford,Focus,5,,Non,Diesel,7 CV,Manuelle,95000.0
515,300 000 - 349 999,2015,Nissan,Qashqai,5,WW au Maroc,Oui,Diesel,6 CV,Manuelle,147000.0
516,70 000 - 74 999,2017,Nissan,Qashqai,5,WW au Maroc,Oui,Diesel,6 CV,Manuelle,
517,120 000 - 129 999,2011,Dacia,Duster,5,WW au Maroc,Non,Essence,9 CV,Manuelle,93000.0
518,110 000 - 119 999,2014,Citroen,C3,,,,Diesel,6 CV,--,
519,85 000 - 89 999,2014,Opel,Astra,,,Oui,Diesel,7 CV,--,
520,95 000 - 99 999,2016,Peugeot,508,,,,Diesel,6 CV,--,
521,25 000 - 29 999,1984,Peugeot,205,5,Dédouanée,Non,Essence,--,--,18000.0
522,190 000 - 199 999,2009,Seat,Leon,5,WW au Maroc,Non,Diesel,8 CV,Manuelle,80000.0
523,95 000 - 99 999,2014,Toyota,Auris,,,,Diesel,5 CV,--,
524,45 000 - 49 999,2019,Dacia,Sandero,5,WW au Maroc,Oui,Diesel,6 CV,Manuelle,
525,120 000 - 129 999,2008,Ford,Fiesta,5,WW au Maroc,Non,Essence,7 CV,Manuelle,58000.0
526,200 000 - 249 999,2013,Renault,Kangoo,5,WW au Maroc,Non,Diesel,6 CV,Manuelle,80000.0
527,190 000 - 199 999,2005,Mitsubishi,pajero,5,WW au Maroc,Non,Diesel,12 CV,Manuelle,55000.0
528,200 000 - 249 999,2006,Land Rover,Range Rover,,,,Diesel,12 CV,--,100000.0
529,20 000 - 24 999,2020,Peugeot,301,5,WW au Maroc,Oui,Diesel,6 CV,Manuelle,135000.0
530,65 000 - 69 999,1991,Fiat,Uno,5,WW au Maroc,Non,Essence,6 CV,Manuelle,16000.0
531,30 000 - 34 999,2018,Hyundai,Tucson,5,WW au Maroc,Oui,Diesel,7 CV,Automatique,240000.0
532,110 000 - 119 999,2012,Volkswagen,Passat,,,,Diesel,8 CV,Manuelle,145000.0
533,Plus de 500 000,2007,Renault,Megane CC,3,Importée neuve,,Diesel,7 CV,Manuelle,83000.0
534,10 000 - 14 999,2019,Nissan,Qashqai,5,WW au Maroc,Oui,Diesel,7 CV,Manuelle,215000.0
535,Plus de 500 000,2007,Renault,Megane CC,3,Importée neuve,,Diesel,7 CV,Manuelle,83000.0
536,170 000 - 179 999,2011,Ford,Focus,5,,Non,Diesel,7 CV,Manuelle,95000.0
537,300 000 - 349 999,2015,Nissan,Qashqai,5,WW au Maroc,Oui,Diesel,6 CV,Manuelle,147000.0
538,70 000 - 74 999,2017,Nissan,Qashqai,5,WW au Maroc,Oui,Diesel,6 CV,Manuelle,
539,120 000 - 129 999,2011,Dacia,Duster,5,WW au Maroc,Non,Essence,9 CV,Manuelle,93000.0
540,110 000 - 119 999,2014,Citroen,C3,,,,Diesel,6 CV,--,
541,85 000 - 89 999,2014,Opel,Astra,,,Oui,Diesel,7 CV,--,
542,95 000 - 99 999,2016,Peugeot,508,,,,Diesel,6 CV,--,
543,25 000 - 29 999,1984,Peugeot,205,5,Dédouanée,Non,Essence,--,--,18000.0
544,190 000 - 199 999,2009,Seat,Leon,5,WW au Maroc,Non,Diesel,8 CV,Manuelle,80000.0
545,95 000 - 99 999,2014,Toyota,Auris,,,,Diesel,5 CV,--,
546,45 000 - 49 999,2019,Dacia,Sandero,5,WW au Maroc,Oui,Diesel,6 CV,Manuelle,
547,200 000 - 249 999,2000,Volkswagen,GOLF 4,5,,,Diesel,8 CV,Manuelle,63000.0
548,110 000 - 119 999,2011,Peugeot,206+,5,WW au Maroc,Non,Essence,6 CV,Manuelle,57000.0
549,45 000 - 49 999,2018,Renault,Kangoo,5,WW au Maroc,Oui,Diesel,6 CV,Manuelle,153000.0
550,15 000 - 19 999,2019,Ford,Fiesta,5,WW au Maroc,Oui,Diesel,6 CV,Manuelle,
551,150 000 - 159 999,2013,Renault,Koleos,5,WW au Maroc,Non,Diesel,8 CV,Manuelle,110000.0
552,250 000 - 299 999,2003,Volkswagen,GOLF 4,5,WW au Maroc,Non,Diesel,8 CV,Manuelle,67000.0
553,15 000 - 19 999,1991,Suzuki,AERIO,5,Dédouanée,Non,Essence,6 CV,Manuelle,40000.0
554,100 000 - 109 999,2013,Mercedes-Benz,Classe A,5,WW au Maroc,Non,Diesel,7 CV,Automatique,
555,160 000 - 169 999,2013,Volvo,S60,5,WW au Maroc,Oui,Diesel,8 CV,Automatique,138000.0
556,100 000 - 109 999,2017,Opel,Astra,5,WW au Maroc,Oui,Diesel,7 CV,Manuelle,158000.0
557,50 000 - 54 999,2019,Dacia,Logan,,,,Diesel,6 CV,--,100000.0
558,140 000 - 149 999,2013,Opel,Astra,5,WW au Maroc,Oui,Diesel,7 CV,Manuelle,125000.0
559,120 000 - 129 999,2011,Ford,Focus,,,,Diesel,7 CV,--,112000.0
560,70 000 - 74 999,2016,Nissan,Qashqai,,,,Diesel,6 CV,Automatique,158000.0
561,120 000 - 129 999,2012,Volvo,XC60,5,WW au Maroc,,Diesel,--,Manuelle,155000.0
562,55 000 - 59 999,2008,Peugeot,206,5,WW au Maroc,Non,Essence,6 CV,Manuelle,33000.0
563,5 000 - 9 999,2017,Land Rover,Defender,,,,Diesel,9 CV,--,280000.0
564,10 000 - 14 999,2020,Dacia,Logan,5,WW au Maroc,Oui,Diesel,6 CV,Manuelle,113000.0
565,300 000 - 349 999,1999,Fiat,Palio,5,,,Diesel,7 CV,Manuelle,33000.0
566,10 000 - 14 999,2012,Peugeot,207,,,,Diesel,6 CV,Manuelle,80000.0
567,200 000 - 249 999,2007,Fiat,Palio,5,WW au Maroc,Oui,Essence,7 CV,Manuelle,38000.0
568,50 000 - 54 999,2008,Peugeot,206,5,WW au Maroc,Non,Essence,6 CV,Manuelle,33000.0
569,300 000 - 349 999,2008,Volkswagen,GOLF 5,,WW au Maroc,,Diesel,8 CV,Manuelle,92000.0
570,200 000 - 249 999,2006,Volkswagen,Touareg,5,WW au Maroc,Oui,Diesel,10 CV,Automatique,110000.0
571,10 000 - 14 999,2019,Fiat,Pinto,5,WW au Maroc,,Diesel,5 CV,Manuelle,103000.0
572,0 - 4 999,1996,Peugeot,306,,,Oui,Diesel,--,--,45000.0
573,80 000 - 84 999,2016,Skoda,Octavia,5,WW au Maroc,Oui,Diesel,--,Automatique,
574,200 000 - 249 999,2013,Skoda,Octavia,5,WW au Maroc,Oui,Diesel,8 CV,--,130000.0
575,160 000 - 169 999,2015,Kia,Picanto,5,WW au Maroc,Non,Essence,5 CV,Manuelle,69000.0
576,100 000 - 109 999,2017,Mercedes-Benz,Sprinter,3,Dédouanée,Oui,Diesel,9 CV,Manuelle,400000.0
577,120 000 - 129 999,2015,BMW,Serie 5,5,WW au Maroc,,Diesel,8 CV,Automatique,
578,100 000 - 109 999,2016,Citroen,C4,,,,Diesel,6 CV,Manuelle,
579,190 000 - 199 999,2007,Renault,Megane,,,,Diesel,6 CV,--,70000.0
580,95 000 - 99 999,2018,Renault,Megane,,,,Diesel,6 CV,--,
581,30 000 - 34 999,2020,Hyundai,i 30,,,,Diesel,6 CV,--,
582,150 000 - 159 999,2013,Ford,Kuga,,,,Diesel,8 CV,--,125000.0
583,80 000 - 84 999,2015,Dacia,Logan,,,,Diesel,6 CV,--,73000.0
584,85 000 - 89 999,2017,Dacia,Dokker,,,,Diesel,--,--,
585,190 000 - 199 999,2012,Kia,Cerato,5,WW au Maroc,Non,Diesel,6 CV,Manuelle,66000.0
586,25 000 - 29 999,1982,Renault,R9,5,Dédouanée,Non,Essence,8 CV,Manuelle,23000.0
587,50 000 - 54 999,2019,Citroen,C-ELYSEE,5,WW au Maroc,Oui,Diesel,6 CV,Manuelle,
588,110 000 - 119 999,2016,Volkswagen,Touareg,,,Oui,Diesel,--,Automatique,190000.0
589,100 000 - 109 999,2011,Toyota,Corolla,5,WW au Maroc,Oui,Diesel,5 CV,--,110000.0
590,100 000 - 109 999,2016,Renault,Megane,5,WW au Maroc,Oui,Diesel,6 CV,Manuelle,
591,20 000 - 24 999,2020,Citroen,Berlingo,5,WW au Maroc,Oui,Essence,9 CV,Manuelle,113000.0
592,190 000 - 199 999,2015,Toyota,Corolla,,,,Diesel,--,--,125000.0
593,150 000 - 159 999,2009,Honda,Jazz,,,,Essence,8 CV,Manuelle,59000.0
594,200 000 - 249 999,2011,Volkswagen,Polo,5,WW au Maroc,Non,Diesel,5 CV,Manuelle,95000.0
595,120 000 - 129 999,2011,Ford,Focus,,,,Diesel,7 CV,--,112000.0
596,70 000 - 74 999,2016,Nissan,Qashqai,,,,Diesel,6 CV,Automatique,158000.0
597,120 000 - 129 999,2012,Volvo,XC60,5,WW au Maroc,,Diesel,--,Manuelle,155000.0
598,55 000 - 59 999,2008,Peugeot,206,5,WW au Maroc,Non,Essence,6 CV,Manuelle,33000.0
599,5 000 - 9 999,2017,Land Rover,Defender,,,,Diesel,9 CV,--,280000.0
600,10 000 - 14 999,2020,Dacia,Logan,5,WW au Maroc,Oui,Diesel,6 CV,Manuelle,113000.0
601,300 000 - 349 999,1999,Fiat,Palio,5,,,Diesel,7 CV,Manuelle,33000.0
602,10 000 - 14 999,2012,Peugeot,207,,,,Diesel,6 CV,Manuelle,80000.0
603,200 000 - 249 999,2007,Fiat,Palio,5,WW au Maroc,Oui,Essence,7 CV,Manuelle,38000.0
604,50 000 - 54 999,2008,Peugeot,206,5,WW au Maroc,Non,Essence,6 CV,Manuelle,33000.0
605,300 000 - 349 999,2008,Volkswagen,GOLF 5,,WW au Maroc,,Diesel,8 CV,Manuelle,92000.0
606,200 000 - 249 999,2006,Volkswagen,Touareg,5,WW au Maroc,Oui,Diesel,10 CV,Automatique,110000.0
607,10 000 - 14 999,2019,Fiat,Pinto,5,WW au Maroc,,Diesel,5 CV,Manuelle,103000.0
608,0 - 4 999,1996,Peugeot,306,,,Oui,Diesel,--,--,45000.0
609,80 000 - 84 999,2016,Skoda,Octavia,5,WW au Maroc,Oui,Diesel,--,Automatique,
610,200 000 - 249 999,2013,Skoda,Octavia,5,WW au Maroc,Oui,Diesel,8 CV,--,130000.0
611,160 000 - 169 999,2015,Kia,Picanto,5,WW au Maroc,Non,Essence,5 CV,Manuelle,69000.0
612,100 000 - 109 999,2017,Mercedes-Benz,Sprinter,3,Dédouanée,Oui,Diesel,9 CV,Manuelle,400000.0
613,120 000 - 129 999,2015,BMW,Serie 5,5,WW au Maroc,,Diesel,8 CV,Automatique,
614,100 000 - 109 999,2016,Citroen,C4,,,,Diesel,6 CV,Manuelle,
615,190 000 - 199 999,2007,Renault,Megane,,,,Diesel,6 CV,--,70000.0
616,95 000 - 99 999,2018,Renault,Megane,,,,Diesel,6 CV,--,
617,30 000 - 34 999,2020,Hyundai,i 30,,,,Diesel,6 CV,--,
618,150 000 - 159 999,2013,Ford,Kuga,,,,Diesel,8 CV,--,125000.0
619,80 000 - 84 999,2015,Dacia,Logan,,,,Diesel,6 CV,--,73000.0
620,85 000 - 89 999,2017,Dacia,Dokker,,,,Diesel,--,--,
621,190 000 - 199 999,2012,Kia,Cerato,5,WW au Maroc,Non,Diesel,6 CV,Manuelle,66000.0
622,25 000 - 29 999,1982,Renault,R9,5,Dédouanée,Non,Essence,8 CV,Manuelle,23000.0
623,50 000 - 54 999,2019,Citroen,C-ELYSEE,5,WW au Maroc,Oui,Diesel,6 CV,Manuelle,
624,110 000 - 119 999,2016,Volkswagen,Touareg,,,Oui,Diesel,--,Automatique,190000.0
625,100 000 - 109 999,2011,Toyota,Corolla,5,WW au Maroc,Oui,Diesel,5 CV,--,110000.0
626,100 000 - 109 999,2016,Renault,Megane,5,WW au Maroc,Oui,Diesel,6 CV,Manuelle,
627,20 000 - 24 999,2020,Citroen,Berlingo,5,WW au Maroc,Oui,Essence,9 CV,Manuelle,113000.0
628,190 000 - 199 999,2015,Toyota,Corolla,,,,Diesel,--,--,125000.0
629,150 000 - 159 999,2009,Honda,Jazz,,,,Essence,8 CV,Manuelle,59000.0
630,120 000 - 129 999,2011,Ford,Focus,,,,Diesel,7 CV,--,112000.0
631,70 000 - 74 999,2016,Nissan,Qashqai,,,,Diesel,6 CV,Automatique,158000.0
632,120 000 - 129 999,2012,Volvo,XC60,5,WW au Maroc,,Diesel,--,Manuelle,155000.0
633,55 000 - 59 999,2008,Peugeot,206,5,WW au Maroc,Non,Essence,6 CV,Manuelle,33000.0
634,5 000 - 9 999,2017,Land Rover,Defender,,,,Diesel,9 CV,--,280000.0
635,10 000 - 14 999,2020,Dacia,Logan,5,WW au Maroc,Oui,Diesel,6 CV,Manuelle,113000.0
636,300 000 - 349 999,1999,Fiat,Palio,5,,,Diesel,7 CV,Manuelle,33000.0
637,10 000 - 14 999,2012,Peugeot,207,,,,Diesel,6 CV,Manuelle,80000.0
638,200 000 - 249 999,2007,Fiat,Palio,5,WW au Maroc,Oui,Essence,7 CV,Manuelle,38000.0
639,50 000 - 54 999,2008,Peugeot,206,5,WW au Maroc,Non,Essence,6 CV,Manuelle,33000.0
640,300 000 - 349 999,2008,Volkswagen,GOLF 5,,WW au Maroc,,Diesel,8 CV,Manuelle,92000.0
641,200 000 - 249 999,2006,Volkswagen,Touareg,5,WW au Maroc,Oui,Diesel,10 CV,Automatique,110000.0
642,10 000 - 14 999,2019,Fiat,Pinto,5,WW au Maroc,,Diesel,5 CV,Manuelle,103000.0
643,0 - 4 999,1996,Peugeot,306,,,Oui,Diesel,--,--,45000.0
644,80 000 - 84 999,2016,Skoda,Octavia,5,WW au Maroc,Oui,Diesel,--,Automatique,
645,200 000 - 249 999,2013,Skoda,Octavia,5,WW au Maroc,Oui,Diesel,8 CV,--,130000.0
646,160 000 - 169 999,2015,Kia,Picanto,5,WW au Maroc,Non,Essence,5 CV,Manuelle,69000.0
647,100 000 - 109 999,2017,Mercedes-Benz,Sprinter,3,Dédouanée,Oui,Diesel,9 CV,Manuelle,400000.0
648,120 000 - 129 999,2015,BMW,Serie 5,5,WW au Maroc,,Diesel,8 CV,Automatique,
649,100 000 - 109 999,2016,Citroen,C4,,,,Diesel,6 CV,Manuelle,
650,190 000 - 199 999,2007,Renault,Megane,,,,Diesel,6 CV,--,70000.0
651,95 000 - 99 999,2018,Renault,Megane,,,,Diesel,6 CV,--,
652,30 000 - 34 999,2020,Hyundai,i 30,,,,Diesel,6 CV,--,
653,150 000 - 159 999,2013,Ford,Kuga,,,,Diesel,8 CV,--,125000.0
654,80 000 - 84 999,2015,Dacia,Logan,,,,Diesel,6 CV,--,73000.0
655,85 000 - 89 999,2017,Dacia,Dokker,,,,Diesel,--,--,
656,190 000 - 199 999,2012,Kia,Cerato,5,WW au Maroc,Non,Diesel,6 CV,Manuelle,66000.0
657,25 000 - 29 999,1982,Renault,R9,5,Dédouanée,Non,Essence,8 CV,Manuelle,23000.0
658,50 000 - 54 999,2019,Citroen,C-ELYSEE,5,WW au Maroc,Oui,Diesel,6 CV,Manuelle,
659,110 000 - 119 999,2016,Volkswagen,Touareg,,,Oui,Diesel,--,Automatique,190000.0
660,100 000 - 109 999,2011,Toyota,Corolla,5,WW au Maroc,Oui,Diesel,5 CV,--,110000.0
661,100 000 - 109 999,2016,Renault,Megane,5,WW au Maroc,Oui,Diesel,6 CV,Manuelle,
662,20 000 - 24 999,2020,Citroen,Berlingo,5,WW au Maroc,Oui,Essence,9 CV,Manuelle,113000.0
663,190 000 - 199 999,2015,Toyota,Corolla,,,,Diesel,--,--,125000.0
664,150 000 - 159 999,2009,Honda,Jazz,,,,Essence,8 CV,Manuelle,59000.0
665,200 000 - 249 999,2011,Volkswagen,Polo,5,WW au Maroc,Non,Diesel,5 CV,Manuelle,95000.0
666,120 000 - 129 999,2014,Mercedes-Benz,Classe E,,,,Diesel,--,--,
667,35 000 - 39 999,2018,Volvo,S60,5,WW au Maroc,Oui,Diesel,8 CV,Automatique,
668,25 000 - 29 999,2002,Peugeot,Partner,5,WW au Maroc,Non,Diesel,7 CV,Manuelle,38000.0
669,5 000 - 9 999,2005,Citroen,Berlingo,5,,Non,Diesel,7 CV,Manuelle,
670,140 000 - 149 999,2006,Renault,Scenic,5,WW au Maroc,Non,Diesel,6 CV,Manuelle,70000.0
671,200 000 - 249 999,2007,Toyota,Corolla,5,WW au Maroc,,Diesel,8 CV,Manuelle,65000.0
672,50 000 - 54 999,2018,Dacia,Duster,5,WW au Maroc,Non,Diesel,6 CV,Manuelle,142000.0
673,180 000 - 189 999,2005,Toyota,Corolla,,Importée neuve,Oui,Diesel,8 CV,Manuelle,55000.0
674,200 000 - 249 999,2006,Toyota,Corolla verso,,,,Diesel,8 CV,--,69000.0
675,75 000 - 79 999,2017,Ford,Fusion,5,WW au Maroc,Oui,Diesel,8 CV,Automatique,
676,110 000 - 119 999,2017,Honda,CR-V,5,WW au Maroc,Oui,Diesel,6 CV,Automatique,218000.0
677,110 000 - 119 999,2016,Jeep,Grand Cherokee,5,WW au Maroc,Oui,Diesel,12 CV,Automatique,224000.0
678,65 000 - 69 999,2016,Renault,Master,5,WW au Maroc,Oui,Diesel,9 CV,Manuelle,
679,200 000 - 249 999,2008,Honda,Accord,,,,Essence,--,--,
680,75 000 - 79 999,2019,Renault,Clio,,,,Diesel,6 CV,--,122000.0
681,85 000 - 89 999,2009,Mazda,CX-9,5,WW au Maroc,,Essence,20 CV,Automatique,93000.0
682,35 000 - 39 999,2017,Fiat,Panda,5,WW au Maroc,Oui,Essence,5 CV,Manuelle,78000.0
683,95 000 - 99 999,2014,Mercedes-Benz,Classe CLA,5,WW au Maroc,Non,Diesel,9 CV,Automatique,253000.0
684,250 000 - 299 999,2006,Volkswagen,Polo,5,WW au Maroc,Non,Diesel,6 CV,Manuelle,65000.0
685,140 000 - 149 999,2009,Peugeot,407,5,WW au Maroc,Oui,Diesel,6 CV,Manuelle,
686,20 000 - 24 999,2014,Dacia,Dokker,5,WW au Maroc,Oui,Diesel,8 CV,Automatique,32000.0
687,55 000 - 59 999,2019,Mercedes-Benz,Classe E,,,,Diesel,8 CV,--,435000.0
688,110 000 - 119 999,2014,Dacia,Logan,5,WW au Maroc,Non,Diesel,6 CV,Manuelle,83000.0
689,200 000 - 249 999,2010,Audi,Q5,5,,,Diesel,8 CV,Manuelle,160000.0
690,190 000 - 199 999,2015,Jeep,Grand Cherokee,5,WW au Maroc,Non,Diesel,12 CV,Automatique,
691,90 000 - 94 999,2016,BMW,X3,,,,Diesel,8 CV,--,255000.0
692,110 000 - 119 999,2016,Dacia,Dokker Van,5,WW au Maroc,Non,Diesel,6 CV,Manuelle,84000.0
693,250 000 - 299 999,2002,Fiat,Uno,5,WW au Maroc,Non,Diesel,7 CV,Manuelle,26000.0
694,130 000 - 139 999,2014,Mercedes-Benz,Classe S,5,WW au Maroc,Oui,Diesel,12 CV,Automatique,390000.0
695,190 000 - 199 999,2007,Mercedes-Benz,CLASSE ML,5,WW au Maroc,Oui,Diesel,12 CV,Automatique,119000.0
696,0 - 4 999,2007,Mercedes-Benz,Classe S,5,WW au Maroc,Non,Diesel,12 CV,Automatique,138000.0
